Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre,Expérience numérique
6 Postes à saisir chez TE Connectivity à Tanger,Non spécifié,Tanger,"Automobile, Procédés, Énergie",Non spécifié,Non spécifié,5 à 6 ans,"Lean, Lean manufacturing","Français, Anglais","Autonomie, Innovation, Leadership, Rigueur",https://www.dreamjob.ma/emploi/6-postes-a-saisir-chez-te-connectivity-a-tanger/,5.5
INGELEC ouvre 5 nouvelles opportunités à Casablanca,INGELEC,Casablanca,Logistique,CDI,Bac+2,2 à 5 ans,ERP,Non spécifié,"Innovation, Organisation",https://www.dreamjob.ma/emploi/ingelec-ouvre-plusieurs-opportunites-a-casablanca/,3.5
Nouvelles opportunités d’emploi chez Michoc dès maintenant,Non spécifié,Casablanca,Agroalimentaire,CDI,Bac+2,Non spécifié,Automatisme,Non spécifié,"Autonomie, Communication, Créativité, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/nouvelles-opportunites-demploi-chez-michoc-des-maintenant/,
6 Opportunités d’emploi à saisir chez Duroc,Non spécifié,Agadir,"Agroalimentaire, Logistique",Non spécifié,Bac+2,1 an,Automatisme,Non spécifié,"Autonomie, Leadership, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/6-opportunites-demploi-a-saisir-chez-duroc/,1.0
Aptiv recrute plusieurs Programmers Technicians à Tanger,Aptiv,Tanger,Automobile,Non spécifié,Bac+2,1 an,Non spécifié,Non spécifié,"Autonomie, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/aptiv-recrute-plusieurs-programmers-technicians-a-tanger/,1.0
DARI COUSPATE ouvre plusieurs opportunités en CDI,DARI COUSPATE,Salé,Agroalimentaire,CDI,Non spécifié,4 ans,Non spécifié,Non spécifié,"Autonomie, Communication, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/dari-couspate-ouvre-plusieurs-opportunites-en-cdi/,4.0
LEONI ouvre 5 postes en industrie automobile à Bouznika,LEONI,Non spécifié,"Automobile, Énergie",Non spécifié,Bac+5,2 ans,"CAO, ERP, Excel, Lean, Lean manufacturing","Français, Anglais, Arabe",Non spécifié,https://www.dreamjob.ma/emploi/leoni-ouvre-5-postes-en-industrie-automobile-a-bouznika/,2.0
"COLORADO propose plusieurs opportunités d’emploi à Casablanca, Rabat et Marrakech",Non spécifié,Casablanca,"Chimie, Logistique",CDI,Bac+2,2 ans,ERP,Non spécifié,"Communication, Gestion de projet, Innovation",https://www.dreamjob.ma/emploi/colorado-propose-plusieurs-opportunites-demploi-a-casablanca-rabat-et-marrakech/,2.0
"Recrutement SEBN Bouknadel, responsables et team leaders recherchés",Non spécifié,Non spécifié,Automobile,CDI,Bac+5,5 ans,"Kaizen, Lean, Six sigma",Non spécifié,"Communication, Leadership, Organisation, Organisation",https://www.dreamjob.ma/emploi/recrutement-sebn-bouknadel-responsables-et-team-leaders-recherches/,5.0
SAM Aviagroup recrute à Nouaceur 5 postes en CDI,SAM Aviagroup,Casablanca,"Aéronautique, Logistique, Procédés",CDI,Bac+5,4 ans,"ERP, Excel",Anglais,"Autonomie, Communication, Leadership, Organisation, Proactivité, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/sam-aviagroup-recrute-a-nouaceur-5-postes-en-cdi/,4.0
Recrutement Fujikura à l’Atlantic Free Zone de Kénitra,Non spécifié,Kénitra,"Automobile, Logistique",CDI,Bac+2,1 à 3 ans,Non spécifié,Non spécifié,"Autonomie, Communication, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/recrutement-fujikura-a-latlantic-free-zone-de-kenitra/,2.0
Recrutement agroalimentaire chez DARI COUSPATE,Non spécifié,Casablanca,Agroalimentaire,CDI,Non spécifié,4 ans,Excel,Non spécifié,"Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/recrutement-agroalimentaire-chez-dari-couspate/,4.0
Opportunités industrielles chez Sanipak à Berrechid,Non spécifié,Berrechid,Chimie,Stage,Bac+2,5 ans,Non spécifié,Non spécifié,"Communication, Organisation, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/opportunites-industrielles-chez-sanipak-a-berrechid/,5.0
"Offres d’emploi à Casablanca, 20 opérateurs Bac+2 recherchés",Non spécifié,Casablanca,Pharmaceutique,CDI,Bac+2,1 an,Non spécifié,Non spécifié,"Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/offres-demploi-a-casablanca-20-operateurs-bac2-recherches/,1.0
"Recrutement Aeolon, opportunités à saisir à Nador",Non spécifié,Nador,Non spécifié,CDI,Bac+3,2 ans,"Excel, Lean",Anglais,"Communication, Travail en équipe",https://www.dreamjob.ma/emploi/recrutement-aeolon-opportunites-a-saisir-a-nador/,2.0
SCIF recrute plusieurs postes industriels à Casablanca,SCIF,Casablanca,"Construction, Ferroviaire, Logistique",CDI,Bac+2,2 ans,Non spécifié,Non spécifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/scif-recrute-plusieurs-postes-industriels-a-casablanca/,2.0
L’ANAPEC ouvre des postes en comptabilité et ressources humaines,L’ANAPEC,Non spécifié,Non spécifié,CDI,Bac+2,2 à 3 ans,"ERP, Excel","Français, Anglais, Arabe","Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/lanapec-ouvre-des-postes-en-comptabilite-et-ressources-humaines/,2.5
"Recrutement Motherson, de nombreux postes industriels ouverts à Kénitra",Non spécifié,Kénitra,Automobile,CDI,Bac+2,1 à 2 ans,Non spécifié,"Français, Anglais","Communication, Flexibilité, Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/recrutement-motherson-de-nombreux-postes-industriels-ouverts-a-kenitra/,1.5
COFICAB recrute plusieurs profils à Tanger et Kénitra,COFICAB,Kénitra,Automobile,CDI,Bac+5,0 à 2 ans,Non spécifié,"Français, Anglais",Innovation,https://www.dreamjob.ma/emploi/coficab-recrute-plusieurs-profils-a-tanger-et-kenitra/,1.0
Mikafric recrute des Techniciens (Outilleur – Electromécanique),Mikafric,Non spécifié,"Logistique, Métallurgie",Stage,Bac+2,5 ans,Non spécifié,Non spécifié,"Relationnel, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/mikafric-recrute-des-techniciens/,5.0
Recrutement immédiat chez BTP Consulting à Berkane,Non spécifié,Berkane,"Construction, Construction",CDI,Bac+2,3 ans,Excel,Non spécifié,"Autonomie, Organisation, Rigueur",https://www.dreamjob.ma/emploi/recrutement-immediat-chez-btp-consulting-a-berkane/,3.0
Opportunités à Casablanca chez RATP Dev,Non spécifié,Casablanca,"Ferroviaire, Logistique, Énergie",CDI,Bac+2,3 à 5 ans,"ERP, Excel, GMAO","Français, Anglais","Initiative, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/opportunites-a-casablanca-chez-ratp-dev/,4.0
Bosch lance un recrutement en stage et en CDD,Non spécifié,Casablanca,Non spécifié,CDD,Bac+2,Non spécifié,"Excel, GMAO, Python, SAP, SQL","Français, Anglais","Communication, Organisation, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/bosch-lance-un-recrutement-en-stage-et-en-cdd/,
Postes de stage à saisir chez Renault Tanger,Non spécifié,Tanger,Automobile,Stage,Bac+5,Non spécifié,Robotique,Non spécifié,"Innovation, Travail en équipe",https://www.dreamjob.ma/stage/postes-de-stage-a-saisir-chez-renault-tanger/,
Deux opportunités à saisir chez RATP Dev Casablanca,Non spécifié,Casablanca,"Ferroviaire, Énergie",Non spécifié,Bac+2,Non spécifié,GMAO,"Français, Anglais","Communication, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/deux-opportunites-a-saisir-chez-ratp-dev-casablanca/,
CMGP Group ouvre 4 opportunités de carrière à Nouaceur,CMGP Group,Nouaceur,Non spécifié,Stage,Bac+2,5 à 10 ans,Non spécifié,Non spécifié,"Initiative, Organisation, Rigueur",https://www.dreamjob.ma/emploi/cmgp-group-ouvre-4-opportunites-de-carriere-a-nouaceur/,7.5
3 postes disponibles chez Nestlé à El Jadida,Non spécifié,El jadida,"Agroalimentaire, Chimie",CDI,Bac+2,2 ans,"5S, SPC",Français,"Communication, Initiative, Innovation, Leadership, Travail en équipe",https://www.dreamjob.ma/emploi/3-postes-disponibles-chez-nestle-a-el-jadida/,2.0
La Centrale Automobile Chérifienne propose 10 postes à saisir,Non spécifié,Dar bouazza,Automobile,CDI,Bac+4,9 ans,"ERP, Excel, Modélisation, Python, SQL","Français, Anglais, Arabe","Autonomie, Communication, Force de proposition, Gestion de projet, Leadership, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/la-centrale-automobile-cherifienne-propose-10-postes-a-saisir/,9.0
Top Class Expresso recrute de nouveaux profils à Casablanca,Top Class Expresso,Casablanca,Logistique,Non spécifié,Bac+2,Non spécifié,Excel,Non spécifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/top-class-expresso-recrute-de-nouveaux-profils-a-casablanca/,
6 postes ouverts chez Valeo à tanger,Non spécifié,Tanger,Automobile,CDI,Bac+2,2 ans,"5S, Lean, SAP",Anglais,"Autonomie, Communication, Organisation, Rigueur",https://www.dreamjob.ma/a-la-une/6-postes-ouverts-chez-valeo-a-tanger/,2.0
SOMADIR recrute des profils techniques et juridiques à Casablanca,SOMADIR,Casablanca,Agroalimentaire,CDI,Bac+3,2 à 3 ans,Non spécifié,Non spécifié,"Autonomie, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/somadir-recrute-des-profils-techniques-et-juridiques-a-casablanca/,2.5
2 postes à pourvoir chez Ciments du Maroc à Marrakech,Non spécifié,Marrakech,Construction,CDI,Bac+5,3 à 4 ans,"GMAO, Ms project, SAP","Français, Anglais","Autonomie, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/2-postes-a-pourvoir-chez-ciments-du-maroc-a-marrakech/,3.5
EM ÉNERGIE lance une campagne de recrutement multi profils,Non spécifié,Casablanca,Énergie,Non spécifié,Bac+2,5 ans,Autocad,Non spécifié,"Autonomie, Organisation, Rigueur",https://www.dreamjob.ma/emploi/em-energie-lance-une-campagne-de-recrutement-multi-profils/,5.0
"Postes industriels à saisir, SOMADIR recrute dès maintenant","Postes industriels à saisir, SOMADIR",Casablanca,Agroalimentaire,CDI,Bac+3,10 ans,Non spécifié,Non spécifié,"Leadership, Organisation, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/postes-industriels-a-saisir-somadir-recrute-des-maintenant/,10.0
Setexam recrute des Conducteurs d’Installations à Kénitra,Setexam,Kénitra,"Agroalimentaire, Pharmaceutique",CDI,Non spécifié,2 ans,Automatisme,Non spécifié,"Autonomie, Innovation, Leadership, Rigueur",https://www.dreamjob.ma/emploi/setexam-recrute-des-conducteurs-dinstallations-a-kenitra/,2.0
Maghreb Steel recrute plusieurs profils industriels à Casablanca,Maghreb Steel,Casablanca,Non spécifié,Non spécifié,Bac+2,3 ans,"AMDEC, Ms project",Non spécifié,"Autonomie, Communication, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/maghreb-steel-recrute-plusieurs-profils-industriels-a-casablanca/,3.0
Postes à saisir chez Les Imprimeries du Matin à Casablanca,Non spécifié,Casablanca,Logistique,CDI,Bac+2,5 ans,Automatisme,Non spécifié,"Autonomie, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/postes-a-saisir-chez-les-imprimeries-du-matin-a-casablanca/,5.0
"Campagne de recrutement Groupe Smeia à Casablanca, Rabat, Fès et Marrakech",Non spécifié,Casablanca,Automobile,CDI,Bac+2,3 ans,Non spécifié,"Français, Anglais","Autonomie, Communication, Innovation, Organisation, Proactivité, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/campagne-de-recrutement-groupe-smeia-a-casablanca-rabat-fes-et-marrakech/,3.0
"Recrutement APM Terminals, nouvelles opportunités professionnelles à Tanger",Non spécifié,Tanger,Logistique,CDI,Non spécifié,8 ans,"Excel, Lean, SAP",Anglais,"Communication, Leadership, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/recrutement-apm-terminals-nouvelles-opportunites-professionnelles-a-tanger/,8.0
Postes ouverts à Rabat et Marrakech chez la Sorec,Non spécifié,Marrakech,"Construction, Logistique, Énergie",CDI,Bac+3,Non spécifié,Autocad,Non spécifié,"Communication, Créativité, Gestion de projet, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/postes-ouverts-a-rabat-et-marrakech-chez-la-sorec/,
Lesaffre renforce son équipe technique et recrute à Fés,Lesaffre renforce son équipe technique et,Fès,Agroalimentaire,Non spécifié,Bac+2,7 ans,"Autocad, GMAO, Lean",Non spécifié,"Autonomie, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/lesaffre-renforce-son-equipe-technique-et-recrute-a-fes/,7.0
Servier Maroc ouvre de nouveaux postes à Casablanca,Servier Maroc,Casablanca,"Chimie, Pharmaceutique",Non spécifié,Bac+3,3 à 7 ans,"AMDEC, Automatisme, Excel, GMAO",Non spécifié,"Autonomie, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/servier-maroc-ouvre-de-nouveaux-postes-a-casablanca/,5.0
DARI COUSPATE recrute technicien comptable et chef de produit,DARI COUSPATE,Non spécifié,Agroalimentaire,Non spécifié,Bac+4,2 ans,Excel,Français,"Autonomie, Communication, Créativité, Leadership, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/dari-couspate-recrute-technicien-comptable-et-chef-de-produit/,2.0
Grande campagne Sorec nouveaux talents recherchés,Non spécifié,Marrakech,"Automobile, Construction, Logistique",CDI,Bac+2,2 à 5 ans,"Autocad, ERP, Excel, Python, SQL",Non spécifié,"Communication, Créativité, Créativité, Gestion de projet, Initiative, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/grande-campagne-sorec-nouveaux-talents-recherches/,3.5
"Offres d’emploi RATP Dev Casablanca, plusieurs profils recherchés",Non spécifié,Casablanca,Logistique,Non spécifié,Bac+2,Non spécifié,ERP,Anglais,"Autonomie, Initiative, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-ratp-dev-casablanca-plusieurs-profils-recherches/,
"Opportunités d’emploi à Casablanca, Intersig renforce ses équipes",Non spécifié,Casablanca,"Construction, Procédés",Non spécifié,Bac+2,5 ans,GMAO,Non spécifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-demploi-a-casablanca-intersig-renforce-ses-equipes/,5.0
"SOMADIR recrute à El Jadida, deux postes à pourvoir dès maintenant",SOMADIR,El jadida,"Agroalimentaire, Chimie",CDI,Bac+2,3 ans,Non spécifié,Non spécifié,"Autonomie, Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/somadir-recrute-a-el-jadida-deux-postes-a-pourvoir-des-maintenant/,3.0
Quality Bean Morocco ouvre de nouveaux postes à saisir dans l’agroalimentaire,Quality Bean Morocco,Non spécifié,Agroalimentaire,Non spécifié,Bac+2,3 à 5 ans,Non spécifié,Français,"Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/quality-bean-morocco-ouvre-de-nouveaux-postes-a-saisir-dans-lagroalimentaire/,4.0
(7) Postes industriels ouverts chez Snop Maroc,Non spécifié,Tanger,Automobile,Stage,Bac+2,2 ans,"AMDEC, Automatisme, Excel, GMAO, SAP",Anglais,"Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/7-postes-industriels-ouverts-chez-snop-maroc/,2.0
Fujikura Automotive recrute 4 nouveaux profils à Kénitra – Opportunités à saisir dès maintenant,Fujikura Automotive,Kénitra,"Automobile, Procédés",Non spécifié,Bac+2,3 ans,Non spécifié,"Français, Anglais",Non spécifié,https://www.dreamjob.ma/emploi/fujikura-automotive-recrute-4-nouveaux-profils-a-kenitra-opportunites-a-saisir-des-maintenant/,3.0
Carrières industrielles: opportunités à saisir chez COFAT Maroc à Kénitra,Non spécifié,Kénitra,Automobile,CDI,Bac+3,1 à 2 ans,Non spécifié,Non spécifié,"Innovation, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/carrieres-industrielles-opportunites-a-saisir-chez-cofat-maroc-a-kenitra/,1.5
Sentury Tire Morocco recrute 16 techniciens et électriciens à Tanger,Sentury Tire Morocco,Tanger,Procédés,Stage,Bac+2,Non spécifié,Non spécifié,Non spécifié,"Innovation, Polyvalence, Rigueur",https://www.dreamjob.ma/emploi/sentury-tire-morocco-recrute-16-techniciens-et-electriciens-a-tanger/,
Gotion Power Morocco ouvre sa nouvelle usine et embauche immédiatement,Gotion Power Morocco,Kénitra,Énergie,Non spécifié,Bac+2,Non spécifié,Automatisme,Non spécifié,Rigueur,https://www.dreamjob.ma/emploi/gotion-power-morocco-ouvre-sa-nouvelle-usine-et-embauche-immediatement/,
Motherson recrute des Inspecteurs Qualité à Kénitra – Postulez dès aujourd’hui,Motherson,Kénitra,"Automobile, Aéronautique, Logistique, Procédés",Non spécifié,Bac+2,1 à 2 ans,Non spécifié,Non spécifié,"Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/motherson-recrute-des-inspecteurs-qualite-a-kenitra-postulez-des-aujourdhui/,1.5
"P PRIME recrute dès maintenant: 8 postes ouverts à Agadir, Larache et Tanger",P PRIME,Larache,Logistique,CDI,Bac+3,1 à 3 ans,"Autocad, ERP, Excel, Ms project, SAP","Français, Anglais","Autonomie, Communication, Leadership, Rigueur",https://www.dreamjob.ma/emploi/p-prime-recrute-des-maintenant-8-postes-ouverts-a-agadir-larache-et-tanger/,2.0
Proma Industrie Kénitra recrute: plusieurs postes ouverts dans l’automobile,Proma Industrie Kénitra,Kénitra,Automobile,Stage,Bac+2,2 ans,"Automatisme, Robotique, SAP",Non spécifié,"Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/proma-industrie-kenitra-recrute-plusieurs-postes-ouverts-dans-lautomobile/,2.0
Campagne de recrutement 2025: BTP CONSULTING recrute en masse dans le BTP,Campagne de recrutement 2025: BTP CONSULTING,Tétouan,Construction,CDI,Non spécifié,5 ans,Non spécifié,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/campagne-de-recrutement-2025-btp-consulting-recrute-en-masse-dans-le-btp/,5.0
Lear Morocco recrute: 4 postes stratégiques à pourvoir à Tanger et Meknès,Lear Morocco,Tanger,"Automobile, Logistique, Plasturgie",Non spécifié,Bac+2,4 ans,5S,"Français, Anglais",Communication,https://www.dreamjob.ma/emploi/lear-morocco-recrute-4-postes-strategiques-a-pourvoir-a-tanger-et-meknes/,4.0
Rejoignez Centrale Danone: deux opportunités dans l’industrie agroalimentaire,Non spécifié,Non spécifié,Agroalimentaire,Intérim,Bac+2,2 ans,"Automatisme, Excel",Non spécifié,"Initiative, Innovation, Proactivité, Rigueur",https://www.dreamjob.ma/emploi/rejoignez-centrale-danone-deux-opportunites-dans-lindustrie-agroalimentaire/,2.0
"International Paper recrute: nouveaux postes ouverts à Tanger, Kénitra et Casablanca",International Paper,Casablanca,Logistique,Non spécifié,Bac+2,3 ans,SAP,"Français, Anglais","Communication, Organisation, Polyvalence",https://www.dreamjob.ma/emploi/international-paper-recrute-nouveaux-postes-ouverts-a-tanger-kenitra-et-casablanca/,3.0
